time	E'	E"	tan(d)	Temp	E*	e	Force
s	Pa	Pa	 	°C	Pa	%	g
14	1.0300e+07	4.8034e+06	0.46634	31.01	1.1365e+07	0.01941	0.40495
27	1.1571e+07	5.2000e+06	0.44940	29.54	1.2686e+07	0.01939	0.45152
40	1.1391e+07	5.5343e+06	0.48584	28.16	1.2665e+07	0.01938	0.45039
54	1.1094e+07	4.4200e+06	0.39840	27.77	1.1942e+07	0.01940	0.42529
66	9.3785e+06	4.6880e+06	0.49986	29.08	1.0485e+07	0.01944	0.37414
77	9.3785e+06	4.5411e+06	0.48420	30.37	1.0420e+07	0.01945	0.37198
88	9.2779e+06	4.7904e+06	0.51632	31.43	1.0442e+07	0.01947	0.37311
99	8.4610e+06	3.8595e+06	0.45615	32.39	9.2996e+06	0.01948	0.33254
109	7.6435e+06	4.1198e+06	0.53900	33.31	8.6831e+06	0.01950	0.31082
121	7.5907e+06	3.6214e+06	0.47709	34.39	8.4103e+06	0.01952	0.30140
134	6.6274e+06	3.5696e+06	0.53861	35.53	7.5276e+06	0.01953	0.26986
144	5.9471e+06	3.0076e+06	0.50573	36.39	6.6643e+06	0.01957	0.23942
158	5.8718e+06	3.1023e+06	0.52834	37.54	6.6410e+06	0.01957	0.23854
169	5.8198e+06	3.1334e+06	0.53840	38.51	6.6097e+06	0.01959	0.23770
181	4.7662e+06	3.0322e+06	0.63617	39.53	5.6490e+06	0.01961	0.20329
191	4.6792e+06	2.9154e+06	0.62305	40.38	5.5131e+06	0.01962	0.19855
201	4.7355e+06	2.5828e+06	0.54541	41.23	5.3941e+06	0.01963	0.19435
212	4.3220e+06	2.3398e+06	0.54137	42.14	4.9147e+06	0.01963	0.17709
223	3.8139e+06	2.0817e+06	0.54583	43.05	4.3450e+06	0.01965	0.15672
234	3.5040e+06	2.3348e+06	0.66632	43.97	4.2106e+06	0.01966	0.15191
244	3.1206e+06	2.0931e+06	0.67074	44.79	3.7576e+06	0.01967	0.13566
254	2.7457e+06	1.8375e+06	0.66924	45.61	3.3039e+06	0.01968	0.11935
266	2.7745e+06	1.8661e+06	0.67261	46.63	3.3437e+06	0.01970	0.12093
276	2.4604e+06	1.5103e+06	0.61383	47.47	2.8870e+06	0.01971	0.10445
288	2.3422e+06	1.4972e+06	0.63922	48.49	2.7798e+06	0.01970	0.10050
299	2.0908e+06	1.5371e+06	0.73516	49.41	2.5950e+06	0.01970	0.09385
309	1.8670e+06	1.3713e+06	0.73452	50.25	2.3165e+06	0.01970	0.08378
320	2.0367e+06	1.1860e+06	0.58231	51.15	2.3569e+06	0.01972	0.08532
330	1.4866e+06	1.2957e+06	0.87159	51.99	1.9720e+06	0.01973	0.07140
340	1.6791e+06	1.3215e+06	0.78702	52.83	2.1367e+06	0.01972	0.07735
351	1.4442e+06	9.0981e+05	0.62998	53.76	1.7069e+06	0.01972	0.06179
362	1.2674e+06	1.1435e+06	0.90219	54.61	1.7070e+06	0.01973	0.06181
373	1.3921e+06	9.4194e+05	0.67664	55.57	1.6808e+06	0.01974	0.06090
383	9.4176e+05	9.9481e+05	1.05634	56.40	1.3699e+06	0.01975	0.04965
393	8.5646e+05	6.8995e+05	0.80559	57.22	1.0998e+06	0.01975	0.03987
404	1.1814e+06	6.5583e+05	0.55513	58.15	1.3512e+06	0.01975	0.04899
414	1.0332e+06	5.5630e+05	0.53841	58.97	1.1735e+06	0.01975	0.04255
425	1.1683e+06	6.7027e+05	0.57369	59.88	1.3469e+06	0.01974	0.04881
435	1.2261e+06	6.4151e+05	0.52322	60.69	1.3838e+06	0.01977	0.05020
446	1.0158e+06	5.6625e+05	0.55746	61.62	1.1629e+06	0.01975	0.04217
460	6.4898e+05	4.5256e+05	0.69734	62.83	7.9119e+05	0.01977	0.02871
473	3.6247e+05	1.2477e+05	0.34421	63.90	3.8334e+05	0.01976	0.01390
484	8.1927e+05	7.6930e+05	0.93900	64.84	1.1238e+06	0.01976	0.04077
495	5.5338e+05	87582.6	0.15827	65.74	5.6026e+05	0.01975	0.02031
505	5.4124e+05	2.5735e+05	0.47548	66.58	5.9931e+05	0.01975	0.02173
516	1.0069e+06	2.5667e+05	0.25491	67.48	1.0391e+06	0.01975	0.03767
526	3.9206e+05	1.4671e+05	0.37420	68.28	4.1861e+05	0.01976	0.01518
537	9.4063e+05	4.4331e+05	0.47129	69.23	1.0399e+06	0.01976	0.03771
549	6.0185e+05	2.8763e+05	0.47792	70.23	6.6705e+05	0.01976	0.02420
559	4.8520e+05	82916.5	0.17089	71.08	4.9224e+05	0.01976	0.01785
570	6.5381e+05	1.0686e+05	0.16345	71.98	6.6249e+05	0.01975	0.02402
582	4.6519e+05	4.6121e+05	0.99144	72.92	6.5507e+05	0.01977	0.02377
593	5.4121e+05	-6349.6	-0.0117	73.88	5.4125e+05	0.01976	0.01963
603	4.9381e+05	2.3345e+05	0.47276	74.71	5.4621e+05	0.01977	0.01982
615	5.3696e+05	58778.5	0.10947	75.72	5.4017e+05	0.01976	0.01959
628	8.3960e+05	4.5198e+05	0.53833	76.81	9.5353e+05	0.01977	0.03460
640	1.8739e+05	-16726.	-0.0893	77.78	1.8814e+05	0.01978	0.00683
653	7.3295e+05	-93687.	-0.1278	78.90	7.3891e+05	0.01976	0.02679
665	5.2504e+05	1.8207e+05	0.34678	79.90	5.5571e+05	0.01977	0.02016
