time	E'	E"	tan(d)	Temp	E*	Force	e
s	Pa	Pa	 	°C	Pa	g	%
14	8.0531e+06	3.3426e+06	0.41507	30.02	8.7193e+06	0.42899	0.01969
24	7.9430e+06	3.4120e+06	0.42955	29.57	8.6448e+06	0.42502	0.01968
36	8.0452e+06	3.3922e+06	0.42164	29.12	8.7311e+06	0.42944	0.01969
46	8.0368e+06	3.4353e+06	0.42745	28.84	8.7402e+06	0.42974	0.01968
59	7.5369e+06	3.2681e+06	0.43361	28.77	8.2150e+06	0.40446	0.01971
70	6.9311e+06	3.4152e+06	0.49274	29.56	7.7268e+06	0.38041	0.01971
83	6.5485e+06	2.7946e+06	0.42676	30.88	7.1199e+06	0.35110	0.01974
94	6.4920e+06	3.0010e+06	0.46227	31.93	7.1521e+06	0.35273	0.01974
104	6.0134e+06	2.7446e+06	0.45641	32.84	6.6101e+06	0.32602	0.01974
114	5.4283e+06	2.6435e+06	0.48699	33.77	6.0378e+06	0.29833	0.01978
129	5.0793e+06	2.5174e+06	0.49563	35.11	5.6689e+06	0.27996	0.01977
140	4.7536e+06	2.4558e+06	0.51662	36.10	5.3504e+06	0.26435	0.01978
152	4.3966e+06	2.3382e+06	0.53182	37.13	4.9797e+06	0.24624	0.01979
166	3.7995e+06	2.1994e+06	0.57886	38.35	4.3902e+06	0.21710	0.01979
178	3.6177e+06	2.0611e+06	0.56973	39.37	4.1636e+06	0.20626	0.01983
190	3.2929e+06	2.1665e+06	0.65792	40.39	3.9417e+06	0.19536	0.01984
205	2.9643e+06	1.8031e+06	0.60827	41.65	3.4696e+06	0.17190	0.01983
217	2.6179e+06	2.0148e+06	0.76961	42.66	3.3035e+06	0.16374	0.01984
231	2.4004e+06	1.8144e+06	0.75586	43.85	3.0090e+06	0.14938	0.01987
247	2.3624e+06	1.6181e+06	0.68496	45.19	2.8634e+06	0.14211	0.01986
259	2.2641e+06	1.5914e+06	0.70291	46.17	2.7674e+06	0.13750	0.01989
271	1.8748e+06	1.2492e+06	0.66631	47.17	2.2529e+06	0.11204	0.01991
283	1.8531e+06	1.1572e+06	0.62444	48.17	2.1847e+06	0.10849	0.01988
295	1.7441e+06	1.0503e+06	0.60222	49.19	2.0359e+06	0.10102	0.01986
