time	E'	E"	tan(d)	Temp	E*	Force	e
s	Pa	Pa	 	°C	Pa	g	%
14	2.5611e+06	1.7751e+06	0.69312	34.61	3.1161e+06	0.26360	0.01975
26	2.9566e+06	1.7596e+06	0.59515	33.64	3.4406e+06	0.29047	0.01971
42	3.4871e+06	1.9651e+06	0.56353	30.89	4.0027e+06	0.33773	0.01970
55	3.7212e+06	2.2570e+06	0.60651	28.91	4.3522e+06	0.36713	0.01970
67	3.6458e+06	2.0708e+06	0.56801	28.76	4.1928e+06	0.35329	0.01967
80	3.3268e+06	1.9868e+06	0.59722	30.36	3.8749e+06	0.32729	0.01972
92	2.9941e+06	1.7152e+06	0.57285	31.73	3.4506e+06	0.29149	0.01972
104	2.9245e+06	2.0367e+06	0.69643	32.82	3.5638e+06	0.30094	0.01972
117	2.6405e+06	1.8325e+06	0.69398	34.02	3.2141e+06	0.27179	0.01974
130	2.4278e+06	1.8803e+06	0.77451	35.21	3.0708e+06	0.26013	0.01978
142	2.3134e+06	1.6617e+06	0.71830	36.29	2.8483e+06	0.24118	0.01977
154	2.1320e+06	1.5712e+06	0.73695	37.34	2.6484e+06	0.22445	0.01979
167	2.0062e+06	1.3863e+06	0.69100	38.44	2.4386e+06	0.20700	0.01982
180	1.9047e+06	1.4394e+06	0.75570	39.55	2.3874e+06	0.20253	0.01981
192	1.6477e+06	1.3328e+06	0.80887	40.57	2.1193e+06	0.17983	0.01981
207	1.4425e+06	1.1996e+06	0.83164	41.82	1.8761e+06	0.15948	0.01985
219	1.4330e+06	1.2561e+06	0.87654	42.83	1.9056e+06	0.16179	0.01982
231	1.3127e+06	1.2080e+06	0.92021	43.86	1.7840e+06	0.15149	0.01983
244	1.0774e+06	8.1317e+05	0.75475	44.94	1.3498e+06	0.11491	0.01988
256	1.1556e+06	8.8213e+05	0.76332	45.94	1.4538e+06	0.12376	0.01988
268	9.3689e+05	7.2807e+05	0.77711	46.93	1.1865e+06	0.10103	0.01988
280	8.0232e+05	7.2247e+05	0.90048	47.94	1.0797e+06	0.09191	0.01988
291	7.8760e+05	6.5432e+05	0.83077	48.86	1.0239e+06	0.08715	0.01987
305	6.7722e+05	6.6895e+05	0.98779	50.03	9.5190e+05	0.08107	0.01989
315	6.2050e+05	6.4085e+05	1.03279	50.87	8.9202e+05	0.07600	0.01989
