time	E'	E"	tan(d)	Temp	E*	e	Force
s	Pa	Pa	 	°C	Pa	%	g
13	2.1871e+06	-22831.	-0.0104	34.09	2.1872e+06	0.01978	0.18527
23	2.4008e+06	1571.82	6.5470e-04	33.80	2.4008e+06	0.01978	0.20335
35	2.2734e+06	2.1726e+05	0.09557	31.94	2.2837e+06	0.01978	0.19347
48	2.2963e+06	43837.0	0.01909	29.88	2.2967e+06	0.01980	0.19472
60	1.9820e+06	1.6230e+05	0.08188	28.62	1.9886e+06	0.01977	0.16835
71	2.1474e+06	1.8246e+05	0.08497	29.24	2.1552e+06	0.01976	0.18238
84	2.1939e+06	1.7454e+05	0.07956	30.86	2.2008e+06	0.01977	0.18634
95	1.9659e+06	-77700.	-0.0395	32.01	1.9675e+06	0.01977	0.16658
105	2.0828e+06	34744.7	0.01668	32.93	2.0831e+06	0.01977	0.17635
115	2.0820e+06	1.2675e+05	0.06088	33.84	2.0858e+06	0.01977	0.17665
131	1.9976e+06	1.2178e+05	0.06097	35.28	2.0013e+06	0.01979	0.16964
147	1.9362e+06	73780.1	0.03811	36.72	1.9376e+06	0.01979	0.16423
158	1.7771e+06	1.3421e+05	0.07552	37.66	1.7821e+06	0.01979	0.15102
168	1.7303e+06	1.3483e+05	0.07792	38.52	1.7356e+06	0.01981	0.14723
178	1.9404e+06	73574.0	0.03792	39.41	1.9418e+06	0.01979	0.16455
191	1.8261e+06	2.6780e+05	0.14665	40.51	1.8456e+06	0.01982	0.15666
202	1.8540e+06	-14179.	-0.0076	41.42	1.8541e+06	0.01981	0.15732
215	1.8694e+06	1.0760e+05	0.05756	42.54	1.8725e+06	0.01982	0.15894
227	1.8342e+06	1.0392e+05	0.05666	43.54	1.8372e+06	0.01982	0.15597
239	1.6743e+06	90866.4	0.05427	44.55	1.6767e+06	0.01981	0.14224
251	1.7176e+06	71945.1	0.04189	45.53	1.7191e+06	0.01979	0.14572
263	1.7475e+06	1.9201e+05	0.10988	46.55	1.7580e+06	0.01982	0.14923
275	1.6953e+06	1.1815e+05	0.06969	47.57	1.6994e+06	0.01983	0.14430
286	1.8002e+06	-8995.4	-0.0050	48.48	1.8002e+06	0.01979	0.15258
298	1.6436e+06	2.3922e+05	0.14555	49.50	1.6609e+06	0.01982	0.14098
310	1.8167e+06	40752.4	0.02243	50.49	1.8172e+06	0.01979	0.15404
322	1.6743e+06	2367.17	0.00141	51.49	1.6743e+06	0.01982	0.14210
336	1.8995e+06	1.0127e+05	0.05332	52.66	1.9022e+06	0.01979	0.16126
348	1.8536e+06	1.3110e+05	0.07073	53.67	1.8583e+06	0.01982	0.15777
361	1.7914e+06	35555.1	0.01985	54.74	1.7918e+06	0.01980	0.15193
374	1.8786e+06	43586.0	0.02320	55.84	1.8791e+06	0.01982	0.15950
386	1.7084e+06	99313.8	0.05813	56.85	1.7113e+06	0.01981	0.14518
